complex_id,latitude,longitude,_type,nearest_subway_distance_km,2023_age,deposit_mean,deposit_std,Cluster
0,37.054314,127.0452164,train,0.7169529478344108,4,32681.77083333333,5660.138178486582,239
1,36.964647,127.0558472,train,3.897279708210613,37,4500.0,0.0,484
2,36.9723899,127.0845143,train,2.039685349066662,28,6500.0,0.0,103
3,36.9654234,127.0487791,train,4.284771361739613,7,22070.0,2111.64690030766,200
4,36.9570886,127.0474487,train,5.021183885631292,33,5857.142857142857,944.911182523068,103
5,36.9631054,127.0406778,train,5.0045587897540855,26,6766.666666666667,981.4954576223636,103
6,36.9637429,127.0486,train,4.42142308014113,34,7000.0,0.0,103
7,36.9618294,127.055295,train,4.166787669755253,18,16630.76923076923,1847.1304841946128,152
8,36.9600337,127.0599393,train,4.082465110659232,18,16714.285714285714,1138.728807356386,152
9,36.9618152,127.0580424,train,4.017079631254808,19,3752.0,0.0,152
10,36.96365,127.0601166,train,3.743389607857391,21,13142.857142857143,852.1681032463467,152
11,36.9628346,127.0541719,train,4.146747746314046,32,4500.0,707.1067811865476,103
12,36.9884117,126.9241276,train,13.425093652898823,34,3000.0,0.0,291
13,36.9878363,126.921848,train,13.63716177097058,29,8000.0,0.0,291
14,36.9934581,126.9524814,train,10.847142305297863,24,9567.021276595744,1596.9068809714572,291
15,36.9770632,126.9286049,train,13.423996423138451,7,22513.066666666666,3369.3699681070907,49
16,36.9810469,126.9380163,train,12.486949351997364,24,10172.727272727272,1002.4644955982556,291
17,36.9756891,126.9279402,train,13.532875153175972,5,22734.78260869565,2761.687345817306,49
18,36.9785586,126.9294733,train,13.294659304013445,5,22308.82352941177,3126.1717945638493,49
19,36.985643,126.918,train,14.030356635220576,18,21669.117647058825,3887.977091564151,291
20,36.9877789,126.9198407,train,13.81130699518046,19,18107.14285714286,2321.956829160162,291
21,36.9805359,126.9175353,train,14.22997513776626,24,13639.622641509432,1877.447190064871,291
22,36.9839209,126.9178738,train,14.092809207849513,21,15500.0,2893.9592256975566,291
23,36.9808646,126.9226211,train,13.788402585097364,18,19851.85185185185,2604.894855455246,291
24,36.9794727,126.9243506,train,13.69101967777752,18,19084.285714285717,3392.4910618004005,291
25,36.9879068,126.9181486,train,13.953335716092788,18,17619.696969696968,1697.0534848091943,291
26,36.9834419,126.9203375,train,13.897619103071806,21,14753.260869565218,1301.2080785824064,291
27,36.9822403,126.9176297,train,14.166285674592936,20,17315.384615384617,1495.463224693358,291
